task	sentence	sentence_id	content	part_of_speech	word_idx
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	Henry	NNP	0
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	Ford,	NNP	1
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	with	IN	2
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	his	PRP$	3
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	son	NN	4
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	Edsel,	NNP	5
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	founded	VBD	6
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	the	DT	7
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	Ford	NNP	8
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	Foundation	NNP	9
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	in	IN	10
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	1936	CD	11
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	as	IN	12
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	a	DT	13
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	local	JJ	14
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	philanthropic	NN	15
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	organization	NN	16
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	with	IN	17
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	a	DT	18
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	broad	JJ	19
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	charter	NN	20
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	to	TO	21
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	promote	VB	22
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	human	JJ	23
NR	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.	0	welfare.	NN	24
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	After	IN	0
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	this	DT	1
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	initial	JJ	2
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	success,	NN	3
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	Ford	NNP	4
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	left	VBD	5
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	Edison	NNP	6
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	Illuminating	NNP	7
NR	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.	1	and,	NN	8
