task	sentence	sentence_id	content	part_of_speech	word_idx
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	He	PRP	0
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	was	VBD	1
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	also	RB	2
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	the	DT	3
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	unsuccessful	JJ	4
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	Republican	NNP	5
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	nominee	NN	6
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	for	IN	7
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	President	NNP	8
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	in	IN	9
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	the	DT	10
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	1996	CD	11
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	election,	NN	12
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	losing	VBG	13
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	to	TO	14
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	the	DT	15
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	incumbent	JJ	16
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	Bill	NNP	17
